Well,Por,Perm,AI,Brittle,TOC,VR,Prod
1,12.08,2.92,2.8,81.4,1.16,2.31,1695.360819
2,12.38,3.53,3.22,46.17,0.89,1.88,3007.096063
3,14.02,2.59,4.01,72.8,0.89,2.72,2531.938259
4,17.67,6.75,2.63,39.81,1.08,1.88,5288.514854
5,17.52,4.57,3.18,10.94,1.51,1.9,2859.469624
6,14.53,4.81,2.69,53.6,0.94,1.67,4017.374438
7,13.49,3.60,2.93,63.71,0.8,1.85,2952.812773
8,11.58,3.03,3.25,53,0.69,1.93,2670.933846
9,12.52,2.72,2.43,65.77,0.95,1.98,2474.048178
10,13.25,3.94,3.71,66.2,1.14,2.65,2722.893266
11,15.04,4.39,2.22,61.11,1.08,1.77,3828.247174
12,16.19,6.30,2.29,49.1,1.53,1.86,5095.810104
13,16.82,5.42,2.8,66.65,1.17,1.98,4091.637316
14,17.39,4.95,2.55,56.43,1.87,2.19,5631.743856
15,13.83,5.26,2.51,66.22,0.18,1.64,2873.608798
16,11.34,2.72,3.43,58.03,0.57,2.15,2423.769381
17,19.55,8.41,3.08,35.49,1.34,1.95,5836.426637
18,15.58,3.67,2.53,29.43,1.35,1.88,3225.083588
19,14.73,5.00,3.03,67.42,0.9,1.98,3155.030659
20,12.47,2.53,3.54,48.82,0.9,2.54,3074.158402
21,18.08,5.70,2.38,53.56,1.26,2.09,6167.837326
22,16.32,4.06,2.41,46.78,1.21,1.72,5026.346076
23,12.62,2.39,2.38,15.68,1,1.48,1770.586346
24,10.03,1.88,3.29,37.74,0.38,1.7,1781.692901
25,18.66,5.37,1.39,53.35,1.77,1.71,6720.654413
26,7.27,2.01,3.41,54.56,-0.04,1.68,1087.058602
27,15.78,5.00,2.55,52.64,1.37,2.04,4778.082354
28,15.73,6.42,3.74,31.9,1.1,2.15,3497.054089
29,12.38,2.18,4.09,31.4,0.72,2.07,2250.406525
30,12.89,2.41,2.9,51.24,0.81,1.97,3244.507305
31,18.48,5.93,2.85,46.89,1.45,2.45,6527.986797
32,14.74,3.10,2.45,36.86,0.92,1.59,3496.723458
33,12.55,3.22,3.43,56.93,0.79,2.27,2962.390499
34,13.58,2.39,2.95,52.16,1.13,2.2,3583.292064
35,11.76,2.94,4.18,61.21,0.43,2.45,2427.658732
36,11.98,3.67,3.17,27.12,0.54,1.69,1928.277856
37,13.56,3.13,3.59,42.96,0.48,1.93,3351.917842
38,16.55,5.70,2.28,63.39,1.33,1.96,4356.575147
39,15.22,3.67,3.52,42.24,1.14,2.26,4163.132891
40,14.54,3.67,2.04,66.27,0.87,1.64,3165.456822
41,14.37,5.93,2.98,47.62,0.97,1.87,3987.338499
42,15.4,3.90,2.86,46.29,1.01,1.99,4456.421771
43,10.14,3.78,4.26,61.89,-0.19,1.97,1819.32951
44,11.09,2.56,3.16,29.62,0.83,1.96,1786.293005
45,18.37,5.93,2.56,44.22,2.07,2.34,6414.798704
46,14.71,4.35,2.39,26.33,0.66,1.15,2687.726662
47,9.29,1.67,2.82,63.86,0.3,1.6,1485.937828
48,11.85,3.46,3.26,24.76,0.08,1.38,1791.039317
49,18.59,5.10,2.91,49.2,1,1.9,6550.386315
50,18.18,4.39,3.27,45.48,1.24,2.25,6151.415394
51,18.72,5.75,2.57,44.74,1.59,1.96,6587.705576
52,20.96,9.21,2.45,33.84,1.53,1.84,6431.79272
53,15.31,3.35,2.76,55.2,0.8,1.97,4310.395172
54,11.98,2.75,4.63,60.31,0.76,2.87,2573.310641
55,18.16,7.10,2.12,41.55,1.97,1.97,5977.95625
56,13.61,3.53,2.75,55.04,0.76,1.74,3492.570837
57,13.67,3.13,2.89,28.69,0.62,1.73,2501.783899
58,15.21,4.10,3.11,32.37,0.78,1.81,3303.374424
59,16.1,3.25,2.16,26.77,1.09,1.29,3167.265025
60,13,4.66,3.1,64.54,0.2,1.71,2686.370349
61,18.32,5.70,3.1,57.18,1.3,2.48,6059.940751
62,14.96,2.16,2.25,34.65,1.07,1.67,3402.579086
63,18.21,5.70,3.34,51.06,1.12,2.28,6315.590413
64,15.07,5.42,3.04,39.39,1.07,2.17,3892.251843
65,17.75,4.66,2.72,59.32,1.67,2.35,5518.303436
66,15.77,7.03,4.1,44.54,0.04,1.97,4463.393776
67,14.19,3.29,2.69,28.7,1.22,1.83,2695.314206
68,13.8,3.29,3.15,46.08,1.28,2.07,3678.068113
69,14.84,3.97,3.43,48.8,1.04,2.11,4230.116305
70,12.54,3.49,3.59,58.03,0.47,2.03,2883.423358
71,10.13,2.39,3.49,63.79,0.16,1.93,1748.969453
72,14.17,3.94,2.92,59.3,0.91,1.91,3544.912776
73,14.85,5.00,3.63,44.93,0.72,2.05,4092.364769
74,16.62,4.62,2.31,31.41,1.1,1.54,3787.503242
75,17.85,5.81,2.96,59.16,0.48,1.74,5391.379987
76,18.73,7.46,2.88,53.39,1.42,2.14,6715.356698
