,X,Y,Por,Perm,AI,Facies
1838,180.0,769.0,13.770948852403441,446.43667673268135,3445.418689977619,1.0
450,530.0,259.0,13.97427006160839,216.5939477645153,3159.935062696639,1.0
575,470.0,139.0,6.031126716914188,0.0,5799.299876724604,0.0
1199,250.0,179.0,5.158305393701679,129.28548500726228,5656.422331971113,0.0
1659,960.0,169.0,5.553231872955199,370.1913415332488,6354.2351203265125,0.0
172,425.0,375.0,18.142263802243527,430.9173801180857,2899.026746796894,1.0
1224,880.0,559.0,16.67479007690615,641.4362490726728,2870.12973261869,1.0
1001,990.0,339.0,13.161599787813183,299.837191631608,3105.150932162617,1.0
364,700.0,669.0,22.301413222856475,757.9801235073157,2610.1288545425796,1.0
147,630.0,329.0,16.115708249603554,469.15325721092455,2893.291159558973,1.0
816,680.0,399.0,7.17358808331571,682.5886373941696,5842.479442876306,0.0
25,900.0,309.0,13.420124716580315,360.6203791881113,3071.5161412875345,1.0
1402,0.0,429.0,11.271423848727332,515.959350643579,3454.3444026122625,1.0
1958,410.0,619.0,6.508427822805484,308.57171271419236,5937.104903994068,0.0
238,460.0,989.0,5.9104646175158555,0.0,5485.237443776625,0.0
155,375.0,225.0,17.13916181879612,719.9821459901965,2920.387338966593,1.0
265,675.0,725.0,21.722862414991866,780.16769441875,2611.5905301491866,1.0
277,760.0,579.0,20.70636183798369,437.43960659401074,2783.7437748199673,1.0
1014,950.0,899.0,5.126775597649786,0.0,5865.725827140466,0.0
1217,660.0,659.0,21.19748665762483,1253.4370080550882,2717.9455700677595,1.0
408,10.0,799.0,13.413744471350222,12.887708899596191,3622.172400293361,1.0
44,125.0,775.0,11.534908564406301,183.35947704184287,3640.2314484857498,1.0
17,380.0,569.0,7.500940414220902,0.0,5530.306538811073,0.0
283,725.0,825.0,5.8873028999866,20.235767612293444,5638.1907361144395,0.0
99,225.0,25.0,15.116550219418734,340.4038233447236,3137.0234286333025,1.0
1102,270.0,39.0,10.030274777972204,686.7846200973248,5046.1902301563705,0.0
160,425.0,975.0,18.018455900259777,162.1335825294707,2911.5231822780215,1.0
266,675.0,675.0,22.80131024904349,849.4115636937557,2566.2324085182718,1.0
1325,370.0,69.0,7.369723317434103,147.35459821507575,5307.583027524314,0.0
256,770.0,829.0,8.422151091480139,65.35444869011656,5446.467001132544,0.0
1011,120.0,899.0,13.656478477830357,874.4775841214882,3326.469977460003,1.0
1003,40.0,869.0,14.051599352381093,516.01591155184,3164.196968087632,1.0
278,890.0,669.0,19.48562654078883,1062.185398535416,2913.244867184511,1.0
1164,650.0,89.0,4.981319851451147,18.91059231047616,6010.701337720597,0.0
182,540.0,859.0,22.728055048498774,941.0494395669446,2812.0281816040815,1.0
251,625.0,425.0,7.250134610815467,0.0,6186.5548424352,0.0
202,470.0,889.0,19.25905270848321,675.8797163454662,2834.0440922679604,1.0
1622,450.0,759.0,20.13514661347188,534.7331148697093,2904.4804853292744,1.0
948,590.0,379.0,16.651159606523187,171.95118810404057,2927.8992525535527,1.0
988,950.0,589.0,19.24479587504583,997.5115967392856,2788.1368979276726,1.0
962,900.0,369.0,13.626499524484839,70.7960852957466,3292.213563847572,1.0
1916,460.0,779.0,19.43183177043126,326.29913416901684,2758.9965167873834,1.0
851,680.0,759.0,6.9953848068378335,0.0,5753.937647134581,0.0
1380,800.0,749.0,12.388319419336595,320.9609703839466,3480.492438137517,1.0
1542,880.0,909.0,8.359543920648736,0.0,5443.465842676135,0.0
105,410.0,479.0,14.871823657796517,853.6114148919712,3133.748709044565,1.0
425,400.0,349.0,16.308180664971204,300.1895719140641,3003.1999859956823,1.0
1053,540.0,379.0,16.517840016464397,624.5943092009644,2954.470418817665,1.0
68,800.0,579.0,17.48029712963724,273.35479640459954,2693.301083796332,1.0
504,530.0,429.0,18.45400992196365,478.7593160153707,2887.455116277753,1.0
914,430.0,189.0,17.33464200800522,1113.608724224047,3052.6035987326186,1.0
415,500.0,899.0,19.597459842586087,645.5009090472594,2771.921305478679,1.0
1796,230.0,439.0,15.37215297951728,482.99916102866143,3064.0822015707586,1.0
557,30.0,669.0,6.768145845659866,0.0,5611.70046305564,0.0
1218,850.0,339.0,13.67771651284513,138.77064306844477,3283.196847852011,1.0
1220,910.0,949.0,14.249149326557873,838.7338890764679,3229.5434253994927,1.0
45,125.0,725.0,6.785032867827021,68.60624351915179,6121.172582873139,0.0
389,975.0,525.0,15.55362656698069,760.5858109482441,3058.0628496537815,1.0
1746,670.0,839.0,7.71047214021531,76.46955936878518,5718.446876667884,0.0
268,690.0,519.0,13.073564152168492,330.61419206393623,3374.3828535190887,1.0
588,790.0,229.0,5.652147521138724,0.0,6190.081250244163,0.0
414,620.0,969.0,15.085440151915412,568.4159984623134,3137.0407556852547,1.0
1493,380.0,199.0,15.876282792411713,578.8880531570459,3016.0326363039085,1.0
1830,650.0,819.0,19.55602343907217,479.9960202064235,2779.1460986206475,1.0
1130,690.0,719.0,22.573588848919098,544.9601177867945,2575.8578799720804,1.0
803,490.0,29.0,5.423949709144599,0.0,6458.161811380164,0.0
1009,120.0,329.0,13.68423480754908,469.4650595689092,3266.707641160442,1.0
589,980.0,389.0,14.142956001646477,787.7965627490095,3318.5163730436493,1.0
1705,690.0,729.0,18.71036706197856,681.8933682855456,2679.6744760517095,1.0
346,875.0,675.0,20.144053190827563,575.4167717159751,2918.0554988057493,1.0
812,870.0,659.0,18.89572681204371,250.31792997498496,2803.7725701075065,1.0
1058,260.0,759.0,14.94179286284517,841.9671731659153,3177.2421936573046,1.0
1087,930.0,729.0,16.33146075190009,619.5252614354488,3306.4968582307665,1.0
9,25.0,525.0,11.535868214276597,222.38674429809365,3855.1863861669003,1.0
74,790.0,319.0,18.969078979193654,843.7148640774102,2759.589984038385,1.0
1635,380.0,439.0,13.073175177440767,858.7578594114472,3131.009013911945,1.0
1615,800.0,839.0,8.485819931688939,172.0647651650878,5180.188332639807,0.0
1704,180.0,319.0,15.546496602951438,284.236528136558,2967.0420971185495,1.0
699,190.0,399.0,16.789940839684935,314.22356945680815,3145.9756374146095,1.0
1764,500.0,839.0,6.238005081621381,168.01745976345228,5973.982317194668,0.0
1639,540.0,309.0,15.977329184566786,420.167073805599,2969.548512482665,1.0
329,410.0,259.0,16.76355791927491,199.30266799156374,2962.8407979099447,1.0
20,75.0,975.0,12.32219588759071,524.6378821273788,3204.6588824794326,1.0
1543,160.0,479.0,14.588698476635201,708.7959125248196,3304.2067895200335,1.0
976,180.0,19.0,14.020976293435039,539.1507895562218,3158.5294193545624,1.0
1932,750.0,789.0,13.554544879506212,14.345429480868404,3145.1313447357716,1.0
276,675.0,175.0,17.75234716889433,1340.5187013727932,3193.415825669046,1.0
31,75.0,425.0,14.961227857096691,0.0,3307.457714307874,1.0
29,740.0,479.0,5.151865369099318,854.3293080270585,6403.506748036603,0.0
706,80.0,389.0,12.373504268884291,0.0,3402.963753341534,1.0
92,225.0,375.0,15.56523502940063,1001.4735952943261,3111.8453415877893,1.0
1642,10.0,809.0,10.53431417784749,704.7115142915973,3730.7965710355365,1.0
817,0.0,499.0,15.668681505459677,609.7528226713575,3524.1303994862074,1.0
1989,90.0,519.0,14.194768738249305,322.9684634234203,3580.1136185410246,1.0
431,490.0,999.0,17.53723600445512,629.256972928461,3033.0464083307093,1.0
179,425.0,25.0,6.816742604503,263.4132328226431,6087.527879640716,0.0
1854,140.0,629.0,8.099692664478072,0.0,5254.735271416857,0.0
768,750.0,129.0,4.477800953778059,0.0,6783.811223197972,0.0
1725,970.0,129.0,6.178745794242367,316.13933646526016,5838.420102480604,0.0
384,370.0,239.0,18.446496580455605,523.256978659768,2887.854221540295,1.0
982,740.0,139.0,5.10058793294674,249.50461008586052,6896.794587878188,0.0
336,720.0,809.0,15.126869773179118,674.0172529789357,2984.8884458986063,1.0
222,720.0,29.0,3.1137208613169167,152.77999227011995,6559.153597596393,0.0
1245,200.0,59.0,13.46339357794581,0.0,3237.229630809403,1.0
1114,540.0,939.0,5.612701073850036,528.2808309671644,5827.386317285483,0.0
1821,330.0,509.0,7.5468779642678445,56.79506044253628,5792.71028753852,0.0
1546,430.0,689.0,3.6892072018326623,453.3585569196695,6502.842209539393,0.0
374,170.0,709.0,7.538772424848475,655.7417436573127,5592.9319682789255,0.0
1157,240.0,829.0,15.96816635439238,805.1429279905418,3047.098403704489,1.0
1771,700.0,269.0,7.2680690478455405,134.6445022617701,5886.8618372163955,0.0
110,275.0,475.0,12.860901543169845,1321.3113666554987,3339.5087815313977,1.0
1551,120.0,759.0,7.047579363179273,344.0285961734711,5784.505695610206,0.0
741,590.0,399.0,17.57689159934616,750.5033740304232,2831.7516907529744,1.0
1077,920.0,949.0,12.857942258276793,345.5498535713102,3310.719183622161,1.0
1190,640.0,159.0,14.217023957997752,110.67915611260713,3120.598468266103,1.0
1589,330.0,689.0,13.347743569801192,1026.7794927268383,3375.720822227743,1.0
114,275.0,275.0,4.216961308785543,0.0,6289.112938268456,0.0
836,60.0,689.0,8.779513942276,95.11991508284058,5438.411536039079,0.0
1587,890.0,419.0,13.464386016012096,591.8558467431701,3330.0970811722173,1.0
