,X,Y,Facies,Porosity,Perm,AI
0,502.9298594,9008.972357,1,0.220761463,140.0212663,3413.063944
1,508.6963607,8505.744515,1,0.237154472,39.83712935,3074.562617
2,503.8928876,8003.429847,1,0.234351522,84.99243742,2292.783358
3,508.2301447,7509.751406,1,0.24455309,90.63230695,2494.848885
4,500.6116369,7000.68423,1,0.231786615,811.5479788,2522.063995
5,506.4022909,6508.472882,1,0.233279565,426.9924556,3964.185956
6,507.3694403,5502.400577,1,0.234423404,2398.406492,3318.885844
7,501.9125075,5009.004277,1,0.219656708,1637.224971,3030.874323
8,505.3076726,4503.042048,1,0.200388831,265.6360194,3454.389302
9,507.2871387,3507.277503,0,0.165907533,7.951511146,5025.286221
10,503.9375105,3001.029478,0,0.155198907,1.476967396,4939.312852
11,500.3219758,1507.815045,0,0.175103058,5.476548202,4770.744199
12,1002.5811,9505.839161,1,0.202123955,357.4816414,3383.118632
13,1006.390082,9001.43256,1,0.202244681,212.501314,4061.372917
14,1006.885789,8501.554672,1,0.215807896,390.0941546,3654.964489
15,1003.383161,8000.672245,1,0.224677252,74.49141387,2440.528683
16,1008.544282,7509.252117,1,0.208432988,22.67626735,2970.026585
17,1002.717559,7001.185379,1,0.218478279,349.1192394,2860.197838
18,1002.095756,6501.564069,1,0.247121689,5943.365697,1746.387548
19,1003.300411,6008.192757,1,0.240469802,3189.207946,3134.257699
20,1006.492633,5506.545674,1,0.233489248,790.6170792,3408.558163
21,1004.938545,5008.019332,1,0.213317537,373.317275,2561.044998
22,1005.266989,4501.718112,1,0.184098971,799.9068562,2517.581317
23,1009.063762,3504.938503,0,0.164817226,521.754379,4852.855541
24,1002.959135,3003.367775,0,0.155894616,12.81300389,4232.532489
25,1008.55477,2500.089324,0,0.14079293,1.374032491,5725.525232
26,1000.08905,2002.782734,0,0.132802447,0.736625703,5871.195228
27,1009.904505,1504.411377,0,0.158501421,6.555531592,4645.579708
28,1005.797732,505.6970348,0,0.161719319,0.197018134,4406.752839
29,1509.660329,9504.706471,1,0.189523894,217.792088,3633.712838
30,1502.267946,9000.618903,1,0.21695036,217.9930343,3793.425782
31,1501.345488,7008.34721,1,0.197221301,282.4802965,3008.795746
32,1505.815458,6500.454078,1,0.232075415,1423.081037,2691.115772
33,1508.026128,6007.792924,1,0.223523392,785.046812,2162.276289
34,1508.136543,5505.320006,1,0.208253609,3091.709875,2678.039856
35,1508.95265,5009.399073,1,0.217501869,634.0286691,2351.637773
36,1504.546201,4509.489705,1,0.205913824,241.7133441,3803.780922
37,1507.668381,4008.668726,1,0.180575587,159.3675953,3004.023333
