,X,Y,Por,Perm,AI,Facies
458,150.0,909.0,13.133412909128939,485.231658524614,3848.2264718588744,1.0
228,690.0,9.0,3.235631996801775,138.23817730067668,5673.521586297451,0.0
324,825.0,775.0,9.012557425230739,317.3389892943683,4370.886936046007,1.0
252,530.0,759.0,11.138871680453859,414.2522494006813,4003.7544719025514,1.0
318,775.0,75.0,9.233079217258913,350.9245667549679,4134.27233676746,1.0
252,625.0,375.0,5.636907121616325,317.21240277357725,4255.5114371534755,1.0
7,25.0,625.0,6.847146865316288,308.1659699277155,4816.235233240653,1.0
251,625.0,425.0,10.256902939875918,381.21737727419026,4052.2641645677504,1.0
69,70.0,19.0,15.093120537026223,522.3702177651953,3834.782939632363,1.0
274,675.0,275.0,11.723247059611788,466.8761983740832,4208.805690318998,1.0
92,225.0,375.0,6.039312508989269,179.43471894987033,5017.861718799366,0.0
12,25.0,375.0,11.140575322010456,491.54236862812616,4265.869210470086,1.0
159,375.0,25.0,14.983616886066548,631.0802798479898,4332.0671648807975,1.0
160,425.0,975.0,7.395359335493719,348.81139104482685,4257.104068373706,1.0
201,600.0,339.0,8.29226948321018,281.2457693266656,4384.912772279924,1.0
272,675.0,375.0,13.215270207650548,386.00810064258326,4132.961522812809,1.0
443,650.0,469.0,13.64678527544486,431.23352966422664,4178.243500827891,1.0
427,180.0,169.0,8.303027667278865,254.26086464805553,4758.0896290769415,0.0
321,825.0,925.0,12.649673688149981,534.4210008338115,4016.758018534164,1.0
326,825.0,675.0,10.470364942476325,416.71112319379165,3858.697908790918,1.0
248,520.0,919.0,12.621066731098988,450.62717127595306,3905.8046448652567,1.0
25,75.0,725.0,12.051457376784107,479.8290775774305,4402.138442446873,1.0
452,580.0,549.0,4.824634624538749,151.13579164336235,5060.180572438051,0.0
497,790.0,919.0,12.44088385477703,484.2908189809389,4098.243747970206,1.0
489,180.0,499.0,11.117907580615336,460.383009134284,4113.651093257749,1.0
21,270.0,429.0,8.285513689327649,240.76371140540925,4492.537981571764,0.0
221,300.0,769.0,14.094421961430081,437.8601426036447,4093.2559103376375,1.0
435,770.0,469.0,7.397778101550561,188.07262485821406,4478.84523766661,0.0
153,190.0,549.0,14.929370683365295,604.4171059381315,4031.946804914991,1.0
365,0.0,119.0,15.287820775371467,578.1737716077066,3813.8447195074123,1.0
177,425.0,125.0,14.920914085243144,544.3279606372147,3989.1704602412533,1.0
79,550.0,339.0,6.88168188666204,268.3415604578276,4172.002842881498,1.0
88,800.0,239.0,4.5782550527475365,169.71179776924595,5313.2058549741805,0.0
203,525.0,825.0,10.019737074781593,366.30760464611564,4287.891706024606,1.0
219,580.0,89.0,7.320994388641309,199.70263692808757,4566.755070466167,0.0
62,190.0,499.0,13.010913402174532,578.3517348104972,4072.275910179072,1.0
3,25.0,825.0,20.0063214862912,748.1932336084334,3774.4995147411278,1.0
